real,imag
-0.443693,-0.896179
0.471397,-0.881921
0.991771,-0.128023
0.679195,0.733958
-0.205329,0.978693
-0.917291,0.398218
-0.854707,-0.51911
-0.0685917,-0.997645
0.776224,-0.630457
0.962121,0.272621
0.329206,0.944258
-0.584865,0.811131
-0.999887,-0.0150516
-0.559391,-0.828904
0.361058,-0.932544
0.971957,-0.23516
0.746782,0.665069
-0.122411,0.99248
-0.886445,0.462835
-0.883902,-0.467672
-0.115081,-0.993356
0.754195,-0.656651
0.967826,0.251619
0.337973,0.941156
-0.587428,0.809276
-0.999529,-0.0306748
-0.535888,-0.844289
0.398569,-0.917138
0.983053,-0.183323
0.701663,0.712509
-0.19932,0.979934
-0.924612,0.380911
-0.831203,-0.555969
7.35717e-15,-1
0.831736,-0.555172
0.923144,0.384454
0.190857,0.981618
-0.712509,0.701663
-0.978377,-0.20683
-0.366684,-0.930346
0.574946,-0.818192
0.999529,0.0306748
0.522875,0.85241
-0.426515,0.904481
-0.990445,0.137905
-0.656651,-0.754195
0.27382,-0.961781
0.955707,-0.294319
0.766831,0.641849
-0.122411,0.99248
-0.900225,0.435426
-0.853561,-0.520994
-0.0232952,-0.999729
0.828904,-0.559391
0.918015,0.396546
0.159994,0.987118
-0.746399,0.665499
-0.962121,-0.272621
-0.285418,-0.958403
0.65694,-0.753943
0.988301,0.152513
0.398218,0.917291
-0.564229,0.825618
-0.99925,-0.0387233
-0.497812,-0.867285
0.471397,-0.881921
0.997755,-0.0669656
0.584243,0.811579
-0.381,0.924575
-0.98656,0.1634
-0.658023,-0.752998
0.295052,-0.955481
0.968259,-0.249949
0.720003,0.693971
-0.215077,0.976597
-0.945232,0.326398
-0.771244,-0.63654
0.142177,-0.989841
0.919604,-0.392846
0.812921,0.582374
-0.0771018,0.997023
-0.893224,0.449611
-0.846236,-0.532809
0.0203238,-0.999793
0.867667,-0.497147
0.872346,0.488889
0.0278957,0.999611
-0.844237,0.535969
-0.892317,-0.451409
-0.0674439,-0.997723
0.823992,-0.566601
0.907081,0.420957
0.0983034,0.995156
-0.807753,0.589521
-0.917405,-0.397954
-0.120507,-0.992712
0.796127,-0.605129
0.92388,0.382683
0.134106,0.990967
-0.789525,0.613719
-0.926895,-0.37532
-0.139139,-0.990273
0.788169,-0.615458
0.926643,0.375942
0.135626,0.99076
-0.792107,0.610383
-0.923107,-0.384543
-0.123552,-0.992338
0.801204,-0.598391
0.916065,0.40103
0.102882,0.994694
-0.815149,0.579252
-0.905093,-0.425214
-0.0735646,-0.99729
0.833435,-0.552617
0.889574,0.45679
0.0355617,0.999367
-0.855354,0.518045
-0.868713,-0.495315
0.0111211,-0.999938
0.87997,-0.475029
0.841555,0.540171
-0.0663917,0.997794
-0.90611,0.423043
-0.807017,-0.590528
0.130019,-0.991511
0.932336,-0.361594
0.763931,0.645298
-0.201574,0.979473
-0.95694,0.290285
-0.711095,-0.703096
0.280361,-0.959895
0.977938,-0.208893
0.647346,0.762196
-0.365345,0.930872
-0.993077,0.117461
-0.571646,-0.8205
0.455084,-0.890449
0.999866,-0.0163937
0.483191,0.875515
-0.547653,0.836705
-0.995625,-0.0934363
-0.381532,-0.924356
0.640598,-0.767876
0.977577,0.21058
0.266713,0.963776
-0.73089,0.682495
-0.942957,-0.332915
-0.139424,-0.990233
0.814926,-0.579565
0.88918,0.457558
0.00115049,0.999999
-0.888565,0.458751
-0.814036,-0.580814
0.145687,-0.989331
0.947217,-0.320592
0.715932,0.69817
-0.297616,0.954686
-0.986006,0.16671
-0.594158,-0.804348
0.450039,-0.893009
